sample;SF;Sample_Name;Bay;Date;Time;Salinity;Temperature;Latitude;Longitude;Secchi;Depth;PAR;Attenuation;Bacterial_Production;nCells;SE;ChlA;Nitrate;Ammonium;Phosphate;Silicate;nVirus
classified_CPBay_Sum27L08_DNA.bac.ar;0.2;M186aD;Chesapeake;22/08/2015;12:05;26.65;26.6;37.051;-76.0773;2.5;1.81;1020.8936323847;-2.12;64.26;3.40E+06;0.00085441707213891;3.87;6.5755;5.248;0.183;6.0145;NA
classified_DEBay_Spr_20_G08.bac.ar;0.8;M31DNA;Delaware;21/03/2014;10:00;20.12;4.21;39.113;-75.2012;1;1.5;NA;NA;36.94;1.92E+06;0.00481315613615816;14.10;14.775;10.5;0.01;2.38;NA
classified_DEBay_Spr_20_L08.bac.ar;0.2;M32DNA;Delaware;21/03/2014;10:00;20.12;4.21;39.113;-75.2012;1;1.5;NA;NA;36.94;1.92E+06;0.00481315613615816;14.10;14.775;10.5;0.01;2.38;NA
classified_DEBay_Spr_30_G08.bac.ar;0.8;M35DNA;Delaware;22/03/2014;10:00;29.91;4.17;38.77;-75.0105;2.5;2.27;NA;NA;13.47;1.43E+06;0.00183275765512661;3.80;0.285;6.35;0.02;0.76;NA
classified_DEBay_Spr_30_L08.bac.ar;0.2;M36DNA;Delaware;22/03/2014;10:00;29.91;4.17;38.77;-75.0105;2.5;2.27;NA;NA;13.47;1.43E+06;0.00183275765512661;3.80;0.285;6.35;0.02;0.76;NA
classified_DEBay_Sum_019_D_G08.bac.ar;0.8;M40_M41DNA;Delaware;28/08/2014;11:04;0.18;25.32;39.8385;-75.3542;0.5;1.27;61.3824868254928;-0.34;61.58;3.12E+06;0.000460459846455782;10.2666666666667;176.4;7.215;0.43;14.995;7.83E+07
classified_DEBay_Sum_019_D_L08.bac.ar;0.2;M42DNA;Delaware;28/08/2014;11:04;0.18;25.32;39.8385;-75.3542;0.5;1.27;61.3824868254928;-0.34;61.58;3.12E+06;0.000460459846455782;10.2666666666667;176.4;7.215;0.43;14.995;7.83E+07
classified_DEBay_Sum_019_N_G08.bac.ar;0.8;M36ADNA;Delaware;27/08/2014;22:57;0.19;25.43;39.8145;-75.3893;NA;1.29;NA;NA;63.18;2.90E+06;0.00040706504424753;9.87;170.56;11.305;0.41;10.245;NA
classified_DEBay_Sum_019_N_L08.bac.ar;0.2;M38/M39DNA;Delaware;27/08/2014;22:57;0.19;25.43;39.8145;-75.3893;NA;1.29;NA;NA;63.18;2.90E+06;0.00040706504424753;9.87;170.56;11.305;0.41;10.245;NA
classified_DEBay_Sum_22_D_G08.bac.ar;0.8;M52DNA;Delaware;31/08/2014;11:02;21.97;24.51;39.1572;-75.2425;2;1.52;688.723993375805;-1.33;NA;5.08E+06;0.000835351451573715;10.7833333333333;5.38;7.06;0.18;10.675;6.52E+07
classified_DEBay_Sum_22_D_L08.bac.ar;0.2;M53DNA;Delaware;31/08/2014;11:02;21.97;24.51;39.1572;-75.2425;2;1.52;688.723993375805;-1.33;NA;5.08E+06;0.000835351451573715;10.7833333333333;5.38;7.06;0.18;10.675;6.52E+07
classified_DEBay_Sum_22_N_G08.bac.ar;0.8;M48DNA;Delaware;30/08/2014;23:01;21.53;24.27;39.1465;-75.2433;NA;1.49;NA;NA;116.76;5.05E+06;0.000757790811964928;11.35;9.625;21.18;0.235;15.165;6.75E+07
classified_DEBay_Sum_22_N_L08.bac.ar;0.2;M49DNA;Delaware;30/08/2014;23:01;21.53;24.27;39.1465;-75.2433;NA;1.49;NA;NA;116.76;5.05E+06;0.000757790811964928;11.35;9.625;21.18;0.235;15.165;6.75E+07
classified_DEBay_Sum_29_D_G08.bac.ar;0.8;M65_M66DNA;Delaware;01/09/2014;11:00;28.81;24.3;38.8473;-75.1072;1.75;1.78;167.85042952348;-1.34;64.67;3.79E+06;0.00820572909698392;8.86666666666667;0.385;6.595;0.15;5.64;8.20E+07
classified_DEBay_Sum_29_D_L08.bac.ar;0.2;M67DNA;Delaware;01/09/2014;11:00;28.81;24.3;38.8473;-75.1072;1.75;1.78;167.85042952348;-1.34;64.67;3.79E+06;0.00820572909698392;8.86666666666667;0.385;6.595;0.15;5.64;8.20E+07
classified_DEBay_Sum_29_N_G08.bac.ar;0.8;M59_60DNA;Delaware;31/08/2014;23:01;29.18;24.29;38.8487;-75.1075;NA;1.62;NA;NA;64.24;3.36E+06;0.00174494198678412;4.93385;0.535;4.41;0.14;5.375;NA
classified_DEBay_Sum_29_N_L08.bac.ar;0.2;M61DNA;Delaware;31/08/2014;23:01;29.18;24.29;38.8487;-75.1075;NA;1.62;NA;NA;64.24;3.36E+06;0.00174494198678412;4.93385;0.535;4.41;0.14;5.375;NA
